Price,Close,High,Low,Open,Volume,MA20,MA50
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2022-01-03,178.44313049316406,179.2960912081591,174.22740989529922,174.34505345884557,104487900,,
2022-01-04,176.1783905029297,179.35490114678188,175.60975505040156,179.05097865451486,99310400,,
2022-01-05,171.49208068847656,176.639196130045,171.21756906170717,176.09017287650624,94537600,,
2022-01-06,168.62930297851562,171.8646356206371,168.27635732737943,169.31558203356892,96904000,,
2022-01-07,168.79595947265625,170.72735431349597,167.6783008049415,169.50185073224034,86709100,,
2022-01-10,168.81561279296875,169.11953536150543,164.87438812798405,165.76655854255335,106765600,,
2022-01-11,171.6489715576172,171.7470028889114,167.4724598584393,168.94306446572548,76138300,,
2022-01-12,172.090087890625,173.70774639139225,171.39401033832232,172.6685219038925,74805200,,
2022-01-13,168.81561279296875,173.15879136098613,168.42344257569226,172.33525634435176,84505800,,
2022-01-14,169.67837524414062,170.37445308222146,167.7371662945372,167.98226707466006,80440800,,
2022-01-18,166.47242736816406,169.1587219328493,166.0900708080933,168.14890807010434,90956700,,
2022-01-19,162.97239685058594,167.72735768644768,162.68808654482677,166.6685205840363,94815000,,
2022-01-20,161.28607177734375,166.3547528521012,160.9625370330281,163.70766807832655,91420500,,
2022-01-21,159.2272491455078,163.070426973366,159.1194042209609,161.19785371976124,122848900,,
2022-01-24,158.45272827148438,159.11941009139656,151.66834129815217,156.88409244537576,162294600,,
2022-01-25,156.64877319335938,159.5703696285005,153.942866591661,155.86444788627315,115798400,,
2022-01-26,156.56053161621094,161.16842196351905,154.72718309601152,160.29586403596446,108275300,,
2022-01-27,156.0997314453125,160.6291874906743,155.17815044081257,159.26642822820887,121954600,,
2022-01-28,166.9920196533203,167.01163189910224,159.6095873711376,162.4625632621154,179935700,,
2022-01-31,171.3548126220703,171.57050245050323,166.18808530239932,166.8253561445004,115541600,166.5327133178711,
2022-02-01,171.1881561279297,171.41364461299403,168.93322639800166,170.5999083862923,86213900,166.1699645996094,
2022-02-02,172.39407348632812,172.4332979868797,169.93326714833051,171.32543772263608,84914300,165.9807487487793,
2022-02-03,169.51165771484375,172.78621481447524,168.74694463929947,171.0606961129302,89418100,165.88172760009766,
2022-02-04,169.2270050048828,170.90563668740813,167.54837332235746,168.53002542285074,82465400,165.911612701416,
2022-02-07,168.5103759765625,170.75835233330088,167.8133965069876,169.68835531132382,77251200,165.89733352661133,
2022-02-08,171.62220764160156,172.13267083606547,168.2845821132694,168.57908068618394,74829200,166.03766326904298,
2022-02-09,173.04562377929688,173.4088302479398,171.6909391445202,172.81984799977465,71285000,166.10749588012695,
2022-02-10,168.96192932128906,172.26028048182204,168.40239549718422,170.94487045999796,90865900,165.95108795166016,
2022-02-11,165.5457763671875,169.9043132142881,164.95677923370172,169.16807428684055,98670700,165.7875961303711,
2022-02-14,165.78138732910156,166.46854070339387,163.5039475985097,164.2990832872494,86185500,165.59274673461914,
2022-02-15,169.61964416503906,169.77671208150778,167.12625465108732,167.83304529637556,62527400,165.7501075744629,
2022-02-16,169.38406372070312,170.15956224722075,166.9299336029845,168.6969102835062,61177400,166.07069091796876,
2022-02-17,165.78138732910156,168.7557915611827,165.37890643172315,167.8919330456037,69589300,166.29545669555665,
2022-02-18,164.23037719726562,167.4109199862711,163.14074291393072,166.70414435001902,82772700,166.54561309814454,
2022-02-22,161.3050537109375,163.6315640117695,159.17485582320555,161.95293260639133,91162800,166.6882293701172,
2022-02-23,157.133056640625,163.10148814384206,156.8189207831809,162.50267977205857,90009200,166.71244354248046,
2022-02-24,159.75405883789062,159.86204116175165,149.21111050582687,149.7804704881103,141147500,166.87211990356445,
2022-02-25,161.82533264160156,162.090367887761,157.91834703084373,160.83385456915977,91974200,167.1583999633789,
2022-02-28,162.0903778076172,162.38487641130448,159.44973145996255,160.06817702982372,95056600,166.91331787109374,
2022-03-01,160.2056427001953,163.54326930615582,158.99821463810176,161.6781210613714,83474400,166.355859375,
2022-03-02,163.5039520263672,164.2892766091773,159.96018776566925,161.37376901896334,79724800,165.97164916992188,
2022-03-03,163.18003845214844,165.81087409586732,162.5125221564551,165.3789447380311,76678400,165.51094741821288,
2022-03-04,160.17611694335938,162.51245294086567,159.1257573421827,161.47190446497984,83737200,165.04417037963867,
2022-03-07,156.37716674804688,161.99221739182056,156.121927641353,160.3626714753167,96418800,164.40167846679688,
2022-03-08,154.55128479003906,159.89147377341504,152.94137619759366,155.90596926887457,131148300,163.7037239074707,
2022-03-09,159.96018981933594,160.41175632836593,156.4851483427237,158.51716018630677,91454900,163.12062301635743,
2022-03-10,155.6114501953125,157.4471342995316,153.11804619246865,157.2606180577262,105342000,162.2489143371582,
2022-03-11,151.89100646972656,156.3575259685623,151.665230708696,156.01394178449013,96970100,161.39536819458007,
2022-03-14,147.85641479492188,151.29219668682538,147.34596655573256,148.671187726746,108732100,160.5109001159668,
2022-03-15,152.24436950683594,152.71557314147054,147.6207980554659,148.13124619142744,92964300,159.83404922485352,164.4624688720703
2022-03-16,156.66183471679688,157.06431562049127,151.62597028281274,154.16844529700253,102300200,159.1861587524414,164.02684295654296
2022-03-17,157.6729278564453,158.04596038224682,154.73779817864818,155.6998128738619,75615400,158.60060195922853,163.65673370361327
2022-03-18,160.97129821777344,161.46212424049523,156.82872538769567,157.56496442177837,123511700,158.3600975036621,163.44631805419922
2022-03-21,162.3456268310547,163.29783055310392,160.01910120084528,160.50992724401203,95811400,158.26585998535157,163.32064453125
2022-03-22,165.72251892089844,166.31150120856418,161.88425551749586,162.4732378051616,81532000,158.48673324584962,163.25917572021484
2022-03-23,167.0869903564453,169.47239748158006,164.57394870167656,164.90772175927947,98062700,158.98442993164062,163.22460327148437
2022-03-24,170.87619018554688,170.94489804434284,167.0870124371813,167.92140774440355,90131400,159.54053649902343,163.20914764404296
2022-03-25,171.5142059326172,172.0639285511804,169.58035066307437,170.6896220047724,80546200,160.0249801635742,163.19763000488283
2022-03-28,172.3780975341797,172.5057021088352,168.84414433562662,169.01102337849983,90371900,160.53936614990235,163.26887969970704
2022-03-29,175.6764373779297,175.7255079917634,173.10449911531725,173.44808328507239,100589400,161.31290588378906,163.3888409423828
2022-03-30,174.50827026367188,176.31450624555694,173.45789549385026,175.27395758161924,92633200,161.8631217956543,163.54955780029297
2022-03-31,171.40625,174.76349791877144,171.200096496919,174.57698164903633,103049300,162.27443237304686,163.71823486328125
2022-04-01,171.1117706298828,171.67131950192206,168.78526000762312,170.83690924745642,78751300,162.82121505737305,163.91474884033204
2022-04-04,175.16598510742188,175.21507070313862,171.2393771112145,171.3669966643139,76468400,163.7606559753418,164.2335235595703
2022-04-05,171.84799194335938,175.0285497272662,171.21973527998745,174.2432251533462,73401800,164.6254913330078,164.50142883300782
2022-04-06,168.6772918701172,170.44426874780456,167.00848619962144,169.1975663148219,89058800,165.06134643554688,164.74199920654297
2022-04-07,168.9815673828125,170.1791839693951,166.73359099058004,168.01955265843017,77594700,165.72985229492187,164.990419921875
2022-04-08,166.9691925048828,168.62818685521674,166.0955227852114,168.62818685521674,76575500,166.4837615966797,165.2078091430664
2022-04-11,162.70884704589844,165.92866496258833,162.46343400359692,165.61454405743055,72246700,167.22638320922852,165.12214569091796
2022-04-12,164.58377075195312,166.75321318939567,163.5824815614611,164.93716605572558,79265200,167.84335327148438,164.98672485351562
2022-04-13,167.2734832763672,167.90173991390134,163.71009694763094,164.3187163524491,70618900,168.3739356994629,164.9084313964844
2022-04-14,162.25726318359375,168.12755331525187,162.01185016741871,167.48947048590375,75329400,168.6031524658203,164.70569519042968
2022-04-18,162.04132080078125,163.54324732904448,160.5688426374783,160.91241188828883,69023900,168.6566535949707,164.55628845214844
2022-04-19,164.32855224609375,164.7408593011716,160.9025960723887,161.9922304806441,67723800,168.75579986572265,164.45831939697266
2022-04-20,164.16168212890625,165.78141713684764,163.05242540339555,165.663608695201,67929800,168.67775802612306,164.37134552001953
2022-04-21,163.3665313720703,168.38277391627963,162.86589422198446,165.81085035411152,87227800,168.4917350769043,164.2062319946289
2022-04-22,158.8214874267578,164.78993402071836,158.5368149070802,163.40581593701359,84882400,167.88899993896484,163.92174926757812
2022-04-25,159.89146423339844,160.1761366901005,155.5525646879934,158.1637473249091,96046400,167.3078628540039,163.7403399658203
2022-04-26,153.92303466796875,159.36138008917553,153.84450071149385,159.27303500519898,95623200,166.38510971069337,163.50788513183593
2022-04-27,153.69728088378906,156.85818695569935,152.52911245475866,153.04938688433683,88063200,165.28615188598633,163.2662030029297
2022-04-28,160.63754272460938,161.50140133184425,156.01395492484127,156.3280907743164,130216800,164.5926155090332,163.08656097412108
2022-04-29,154.7574005126953,163.1505264111617,154.36474578362814,158.87052395753128,131747600,163.76017303466796,162.79402770996094
2022-05-02,155.06175231933594,155.326787567421,150.45780216717014,153.83468735250372,123055300,162.95767211914062,162.57963500976564
2022-05-03,156.5538787841797,157.76132169874938,153.45186941180674,155.24827964309745,88966500,162.0270668029785,162.42610504150392
2022-05-04,162.97389221191406,163.42544380743908,156.33791416985588,156.74039514151906,108256500,161.58336181640624,162.45948181152343
2022-05-05,153.89358520507812,161.06945878722854,152.10697141040896,160.84368302574217,130525300,160.84417648315429,162.3946923828125
2022-05-06,154.62109375,156.7445813601952,151.57349495754403,153.37255959944574,116124600,160.12615280151368,162.29203308105468
2022-05-09,149.48928833007812,153.19555733402424,148.9289324864445,152.31076363237673,131577900,159.25215759277344,162.04531219482422
2022-05-10,151.8979034423828,154.09021465537515,150.3446125608553,152.89083834180113,115366700,158.71161041259765,161.84146270751953
